,0-250,251-300,301-350,351-424,425-450,451-500,501-550,551-600,601-650,651-700,701-774,775-800,801-850,851-900,901-950,951-1000,1001-1050,1051-1100,1101-1150,1151-1200
150-250,2.296 €,2.476 €,2.632 €,2.929 €,3.654 €,3.752 €,4.013 €,4.089 €,4.384 €,4.436 €,4.731 €,5.572 €,5.669 €,5.790 €,6.105 €,6.203 €,6.305 €,6.622 €,6.695 €,7.099 €
251-300,2.571 €,2.783 €,2.965 €,3.318 €,4.173 €,4.281 €,4.596 €,4.676 €,5.025 €,5.081 €,5.432 €,6.361 €,6.468 €,6.593 €,6.984 €,7.092 €,7.198 €,7.591 €,7.668 €,8.082 €
301-350,2.742 €,2.967 €,3.162 €,3.538 €,4.458 €,4.570 €,4.907 €,4.990 €,5.361 €,5.422 €,5.796 €,6.796 €,6.907 €,7.036 €,7.457 €,7.569 €,"7,679 €",8.102 €,8.184 €,8.602 €
351-400,2.920 €,3.159 €,3.366 €,3.766 €,4.757 €,4.874 €,5.232 €,5.319 €,5.712 €,5.776 €,6.174 €,7.275 €,7.389 €,7.522 €,7.974 €,8.090 €,"8,204 €",8.658 €,8.743 €,9.165 €
401-450,3.108 €,3.365 €,3.585 €,4.014 €,5.070 €,5.196 €,5.581 €,5.673 €,6.092 €,6.161 €,6.587 €,7.762 €,7.886 €,8.023 €,8.510 €,8.636 €,8.754 €,9.243 €,9.333 €,9.764 €
451-500,3.287 €,3.556 €,3.789 €,4.241 €,5.370 €,5.500 €,5.906 €,6.002 €,6.443 €,6.515 €,6.965 €,8.221 €,8.349 €,8.490 €,9.007 €,9.137 €,9.259 €,9.779 €,9.872 (,10.308 €
501-550,3.475 €,3.763 €,4.008 €,4.489 €,5.682 €,5.822 €,6.256 €,6.355 €,6.823 €,6.900 €,7.379 €,8.708 €,8.845 €,8.990 €,9.543 €,9.683 €,9.809 €,10.364 €,10.462 €,10.907 €
551-600,3.686 €,"3,986 €",4.245 €,4.749 €,6.002 €,6.145 €,6.601 €,6.704 €,7.194 €,7.274 €,7.777 €,9.206 €,"9,348 €",9.497 €,10.081 €,10.224 €,10.354 €,10.940 €,11.042 €,11.490 €
601-650,3.857 (,4.170 €,4.442 €,4.969 €,6.287 €,6.435 €,6.912 €,7.019 €,7.530 €,7.615 €,8.141 €,9.644 €,9.790 €,9.943 €,10.557 €,10.704 €,10.839 €,11.454 €,11.560 €,12.013 €
651-700,4.052 €,4.384 €,4.668 €,5.224 €,6.614 €,6.771 €,7.275 €,7.387 €,7.925 €,8.014 €,8.568 €,10.184 €,10.340 €,10.497 €,11.146 €,11.303 €,11.442 €,12.093 €,12.203 €,
701-750,4.224 €,4.568 €,4.865 €,5.445 €,6.900 €,7.061 €,7.586 €,7.702 €,8.261 €,8.354 €,8.932 €,,,,,,,,,
751-800,4.419 €,4.781 €,5.091 €,5.700 €,7.267 €,7.438 €,7.990 €,8.110 €,8.696 €,8.793 €,9.400 €,,,,,,,,,